"sci_name","synonyms"
"""Hemitrygon fluviorum""","""Hemitrygon fluviorum"" OR ""Dasyatis fluviorum"""
"""Hemitrygon izuensis""","""Hemitrygon izuensis"" OR ""Dasyatis izuensis"""
"""Hemitrygon laevigata""","""Hemitrygon laevigata"" OR ""Dasyatis laevigata"""
"""Hemitrygon laosensis""","""Hemitrygon laosensis"" OR ""Dasyatis laosensis"""
"""Hemitrygon longicauda""","""Hemitrygon longicauda"" OR ""Dasyatis longicauda"""
"""Hemitrygon navarrae""","""Hemitrygon navarrae"" OR ""Dasyatis navarrae"" OR ""Trygon navarrae"""
"""Hemitrygon parvonigra""","""Hemitrygon parvonigra"" OR ""Dasyatis parvonigra"""
"""Hemitrygon sinensis""","""Hemitrygon sinensis"" OR ""Dasyatis sinensis"" OR ""Trygon sinensis"""
"""Hemitrygon yemenensis""","""Hemitrygon yemenensis"""
"""Heteronarce bentuviai""","""Heteronarce bentuviai"" OR ""Narcine bentuviai"""
"""Heteronarce garmani""","""Heteronarce garmani"" OR ""Heteronarce regani"" OR ""Narcine natalensis"""
"""Heteronarce mollis""","""Heteronarce mollis"" OR ""Narcine mollis"""
"""Hexatrygon bickelli""","""Hexatrygon bickelli"" OR ""Hexatrygon yangi"" OR ""Hexatrematobatis longirostrum"" OR ""Hexatrygon taiwanensis"" OR ""Hexatrygon brevirostra"""
"""Himantura australis""","""Himantura australis"""
"""Himantura leoparda""","""Himantura leoparda"" OR ""Trygon russellii"""
"""Himantura uarnak""","""Himantura uarnak"" OR ""Raja uarnak"" OR ""Himantura punctata"" OR ""Himantura variegatus"" OR ""Raja sephen"""
"""Himantura undulata""","""Himantura undulata"""
"""Hongeo koreana""","""Hongeo koreana"" OR ""Okamejei koreana"" OR ""Raja koreana"""
"""Hypanus americanus""","""Hypanus americanus"" OR ""Dasyatis americana"""
"""Hypanus berthalutzae""","""Hypanus berthalutzae"""
"""Hypanus dipterurus""","""Hypanus dipterurus"" OR ""Dasyatis brevis"" OR ""Dasyatis hawaiiensis"" OR ""Dasyatis dipterura"" OR ""Dasybatis dipterurus"""
"""Hypanus guttatus""","""Hypanus guttatus"" OR ""Dasyatis guttata"" OR ""Raja guttata"""
"""Hypanus longus""","""Hypanus longus"" OR ""Dasyatis longus"" OR ""Dasyatis longa"" OR ""Trygon longa"""
"""Hypanus marianae""","""Hypanus marianae"" OR ""Dasyatis marianae"""
"""Hypanus rudis""","""Hypanus rudis"" OR ""Dasyatis rudis"" OR ""Trygon rudis"""
"""Hypanus sabinus""","""Hypanus sabinus"" OR ""Dasyatis sabina"" OR ""Trygon sabina"""
"""Hypanus say""","""Hypanus say"" OR ""Dasyatis sayi"" OR ""Dasyatis say"" OR ""Raja say"""
"""Hypnos monopterygius""","""Hypnos monopterygius"""
"""Indobatis ori""","""Indobatis ori"" OR ""Springeria ori"" OR ""Anacanthobatis ori"""
"""Insentiraja laxipella""","""Insentiraja laxipella"" OR ""Notoraja laxipella"" OR ""Pavoraja laxipella"""
"""Insentiraja subtilispinosa""","""Insentiraja subtilispinosa"" OR ""Notoraja subtilispinosa"""
"""Irolita waitii""","""Irolita waitii"" OR ""Psammobatis waitii"" OR ""Raja waitii"""
"""Irolita westraliensis""","""Irolita westraliensis"""
"""Leucoraja circularis""","""Leucoraja circularis"" OR ""Raja circularis"" OR ""Raja falsavela"""
"""Leucoraja compagnoi""","""Leucoraja compagnoi"" OR ""Raja compagnoi"""
"""Leucoraja elaineae""","""Leucoraja elaineae"""
"""Leucoraja erinacea""","""Leucoraja erinacea"" OR ""Raja erinaceus"""
"""Leucoraja fullonica""","""Leucoraja fullonica"" OR ""Raja fullonica"" OR ""Raja chagrinea"" OR ""Raja gallica"""
"""Leucoraja garmani""","""Leucoraja garmani"" OR ""Raja garmani"""
"""Leucoraja lentiginosa""","""Leucoraja lentiginosa"" OR ""Raja lentiginosa"""
"""Leucoraja leucosticta""","""Leucoraja leucosticta"" OR ""Raja leucosticta"""
"""Leucoraja melitensis""","""Leucoraja melitensis"""
"""Leucoraja naevus""","""Leucoraja naevus"" OR ""Raja naevus"""
"""Leucoraja ocellata""","""Leucoraja ocellata"" OR ""Raja ocellata"""
"""Leucoraja pristispina""","""Leucoraja pristispina"""
"""Leucoraja wallacei""","""Leucoraja wallacei"" OR ""Raja wallacei"""
"""Leucoraja yucatanensis""","""Leucoraja yucatanensis"" OR ""Breviraja yucatanensis"""
"""Maculabatis ambigua""","""Maculabatis ambigua"""
"""Maculabatis arabica""","""Maculabatis arabica"""
"""Maculabatis astra""","""Maculabatis astra"" OR ""Himantura astra"""
